tag_name,tag_prob,tag_resp,#_in_feedback,prob_threshold
SELECT_AGG_v2,0.5249497294425964,1,1,0.995
GROUP_COL,0.9886216521263123,1,2,0.995
HAV_ROOT_TERM_v2,0.9936932325363159,0,3,0.995
SELECT_AGG_v2,0.9829189973767781,0,4,0.995
SELECT_AGG_v2,0.3612791875904987,0,5,0.995
SELECT_AGG_v2,0.3264416097153822,0,6,0.995
SELECT_AGG_v2,0.007746022194623945,0,7,0.995
SELECT_AGG_v2,0.9761554002761841,1,1,0.995
SELECT_AGG_v2,0.8686736822128296,1,1,0.995
SELECT_AGG_v2,0.9616243839263916,0,2,0.995
SELECT_AGG_v2,0.03797212988138199,0,3,0.995
SELECT_AGG_v2,0.00010173973714699969,0,4,0.995
SELECT_AGG_v2,8.857807551976292e-05,0,5,0.995
SELECT_AGG_v2,0.7865137457847595,1,1,0.995
SELECT_AGG_v2,0.9048432111740112,1,1,0.995
WHERE_COL,0.6545315384864807,0,1,0.995
WHERE_COL,0.312360942363739,1,2,0.995
WHERE_COL,0.022095726802945137,0,3,0.995
WHERE_COL,0.0015395660884678364,0,4,0.995
WHERE_COL,0.03040989488363266,1,5,0.995
SELECT_AGG_v2,0.955144879670686,0,1,0.995
SELECT_AGG_v2,0.6884189528908249,0,2,0.995
SELECT_AGG_v2,0.43845859032026085,1,3,0.995
SELECT_AGG_v2,0.31251249594493874,0,4,0.995
SELECT_AGG_v2,0.9191330040333008,0,1,0.995
SELECT_AGG_v2,0.7269541914116536,1,2,0.995
SELECT_AGG_v2,0.4907295200746349,0,3,0.995
SELECT_AGG_v2,0.20786278582968032,0,4,0.995
WHERE_COL,0.718846321105957,1,5,0.995
WHERE_COL,0.7216858267784119,0,1,0.995
WHERE_COL,0.09372146427631378,0,2,0.995
WHERE_COL,0.07817335426807404,0,3,0.995
WHERE_COL,0.06142917275428772,0,4,0.995
WHERE_OP,0.9100512862205505,0,5,0.995
WHERE_OP,0.0548725388944149,0,6,0.995
WHERE_OP,0.01130442600697279,0,7,0.995
WHERE_OP,0.08148322837243996,0,8,0.995
SELECT_AGG_v2,0.9736817479133606,1,1,0.995
WHERE_COL,0.9513135552406311,0,2,0.995
WHERE_COL,0.017992068082094193,0,3,0.995
WHERE_COL,0.011423745192587376,1,4,0.995
WHERE_COL,0.007701334077864885,0,5,0.995
SELECT_AGG_v2,0.5522792339324951,1,1,0.995
SELECT_AGG_v2,0.8944438027721131,0,2,0.995
SELECT_AGG_v2,0.8172456453520037,0,3,0.995
SELECT_AGG_v2,0.4376611868045545,1,4,0.995
SELECT_AGG_v2,0.40478612578283707,0,5,0.995
ORDER_AGG_v2,0.9848309886212521,1,1,0.995
ORDER_AGG_v2,0.9660456514072139,1,1,0.995
HAV_AGG_v2,0.9908153651697946,1,1,0.995
HAV_OP_v2,0.9577690958976746,1,2,0.995
HAV_AGG_v2,0.8962137455430648,1,1,0.995
HAV_OP_v2,0.9238834977149963,1,2,0.995
SELECT_AGG_v2,0.9919291734695435,1,1,0.995
WHERE_COL,0.8172749876976013,0,2,0.995
WHERE_COL,0.16759665310382843,0,3,0.995
WHERE_COL,0.010483699850738049,0,4,0.995
WHERE_COL,0.0038750204257667065,0,5,0.995
SELECT_AGG_v2,0.9002825617790222,1,1,0.995
SELECT_AGG_v2,0.7428092956542969,0,2,0.995
SELECT_AGG_v2,0.5953392287339294,0,3,0.995
SELECT_AGG_v2,0.4988219473849079,0,4,0.995
SELECT_AGG_v2,0.026669235900044445,1,5,0.995
SELECT_AGG_v2,0.869686700949744,1,6,0.995
SELECT_AGG_v2,0.9866699576377869,1,1,0.995
SELECT_AGG_v2,0.7200383543968201,1,1,0.995
SELECT_AGG_v2,0.9859995191418714,0,1,0.995
SELECT_AGG_v2,0.45470020122539445,0,2,0.995
SELECT_AGG_v2,0.2637449990429256,1,3,0.995
SELECT_AGG_v2,0.23395008443063592,0,4,0.995
SELECT_AGG_v2,0.9678067037002093,0,1,0.995
SELECT_AGG_v2,0.5480172573229606,0,2,0.995
SELECT_AGG_v2,0.5454292991208484,0,3,0.995
SELECT_AGG_v2,0.5207271118064554,0,4,0.995
ORDER_AGG_v2,0.8768041417938545,0,1,0.995
ORDER_AGG_v2,0.6905785304302173,1,2,0.995
ORDER_AGG_v2,0.6193643586998921,0,3,0.995
ORDER_AGG_v2,0.34835009439136005,0,4,0.995
GROUP_COL,0.7741995453834534,1,1,0.995
ORDER_AGG_v2,0.9942091333845887,1,2,0.995
WHERE_COL,0.9473769664764404,0,1,0.995
WHERE_COL,0.027513258159160614,0,2,0.995
WHERE_COL,0.016750119626522064,0,3,0.995
WHERE_COL,0.004015147220343351,0,4,0.995
IUEN_v2,0.00412277365103364,1,5,0.995
WHERE_COL,0.7273478507995605,0,6,0.995
WHERE_COL,0.2306271493434906,0,7,0.995
WHERE_COL,0.0304875411093235,0,8,0.995
WHERE_COL,0.007158685475587845,0,9,0.995
WHERE_COL,0.478077232837677,0,1,0.995
WHERE_COL,0.34570372104644775,0,2,0.995
WHERE_COL,0.10198499262332916,0,3,0.995
WHERE_COL,0.03603624552488327,0,4,0.995
IUEN_v2,0.0008481023833155632,1,5,0.995
WHERE_COL,0.369188517332077,0,6,0.995
WHERE_COL,0.3598831593990326,0,7,0.995
WHERE_COL,0.08447759598493576,0,8,0.995
WHERE_COL,0.0712902769446373,0,9,0.995
SELECT_AGG_v2,0.5721777677536011,1,1,0.995
SELECT_AGG_v2,0.9933357238769531,1,2,0.995
SELECT_AGG_v2,0.978205144405365,1,1,0.995
WHERE_COL,0.9724225401878357,0,1,0.995
WHERE_COL,0.014601674862205982,0,2,0.995
WHERE_COL,0.01237286627292633,1,3,0.995
WHERE_COL,0.000453715882031247,0,4,0.995
WHERE_COL,0.9514225721359253,0,1,0.995
WHERE_COL,0.04719633609056473,1,2,0.995
WHERE_COL,0.0013750768266618252,0,3,0.995
WHERE_COL,2.508570105419494e-06,0,4,0.995
SELECT_AGG_v2,0.8171406984329224,0,1,0.995
SELECT_AGG_v2,0.1828504353761673,1,2,0.995
SELECT_AGG_v2,8.82877156982431e-06,0,3,0.995
SELECT_AGG_v2,9.60243082964717e-12,0,4,0.995
SELECT_AGG_v2,0.7448155283927917,0,1,0.995
SELECT_AGG_v2,0.25518107414245605,1,2,0.995
SELECT_AGG_v2,3.3837006867543104e-06,0,3,0.995
SELECT_AGG_v2,6.360946925437766e-12,0,4,0.995
SELECT_AGG_v2,0.717553436756134,1,1,0.995
WHERE_COL,0.9237919449806213,0,1,0.995
WHERE_COL,0.07484973967075348,1,2,0.995
WHERE_COL,0.0008111220085993409,0,3,0.995
WHERE_COL,0.0004891848075203598,0,4,0.995
SELECT_AGG_v2,0.993515913390831,1,1,0.995
SELECT_AGG_v2,0.9926379838677499,0,1,0.995
SELECT_AGG_v2,0.4032971096489468,1,2,0.995
SELECT_AGG_v2,0.20682191617018703,0,3,0.995
SELECT_AGG_v2,0.24199697954007246,0,4,0.995
SELECT_AGG_v2,0.660885751247406,0,1,0.995
SELECT_AGG_v2,0.7629197766562128,0,2,0.995
SELECT_AGG_v2,0.10882857352705566,0,3,0.995
SELECT_AGG_v2,0.14454898245932835,0,4,0.995
SELECT_AGG_v2,0.9783527768566489,0,1,0.995
SELECT_AGG_v2,0.08173583447933197,0,2,0.995
SELECT_AGG_v2,0.27116971986857996,0,3,0.995
SELECT_AGG_v2,0.15168288484619197,0,4,0.995
SELECT_AGG_v2,0.48724573850631714,0,1,0.995
SELECT_AGG_v2,0.38997915387153625,0,2,0.995
SELECT_AGG_v2,0.12202758342027663,1,3,0.995
SELECT_AGG_v2,0.0006525744101963936,0,4,0.995
SELECT_AGG_v2,0.6513249278068542,0,1,0.995
SELECT_AGG_v2,0.33625444769859314,1,2,0.995
SELECT_AGG_v2,0.009602531790733336,0,3,0.995
SELECT_AGG_v2,0.0027439289260655633,0,4,0.995
WHERE_OP,0.9001069664955139,0,5,0.995
WHERE_OP,0.09805802255868912,1,6,0.995
WHERE_OP,0.0007178782834671438,0,7,0.995
WHERE_OP,0.018859069552606536,0,8,0.995
WHERE_COL,0.7391030788421631,1,1,0.995
SELECT_AGG_v2,0.9926856756210327,0,1,0.995
SELECT_AGG_v2,0.006204696372151373,1,2,0.995
SELECT_AGG_v2,0.0011083215940743683,0,3,0.995
SELECT_AGG_v2,1.215506472362903e-06,0,4,0.995
GROUP_COL,0.651619553565979,0,5,0.995
GROUP_COL,0.34240618348121643,1,6,0.995
GROUP_COL,0.005749420262873173,0,7,0.995
GROUP_COL,0.00016822604811750352,0,8,0.995
ORDER_AGG_v2,0.9932429735697013,0,9,0.995
ORDER_AGG_v2,0.3325872157382517,0,10,0.995
ORDER_AGG_v2,0.2572275657317426,0,11,0.995
ORDER_AGG_v2,0.25115629634050257,0,12,0.995
SELECT_AGG_v2,0.9856237173080444,0,1,0.995
SELECT_AGG_v2,0.007860437966883184,0,2,0.995
SELECT_AGG_v2,0.006398930680006743,1,3,0.995
SELECT_AGG_v2,0.00011328413529554375,0,4,0.995
SELECT_AGG_v2,0.9949406317127674,0,5,0.995
SELECT_AGG_v2,0.43823247648380315,0,6,0.995
SELECT_AGG_v2,0.19770586667479048,1,7,0.995
SELECT_AGG_v2,0.24075171048627528,0,8,0.995
GROUP_COL,0.9066233038902283,0,9,0.995
GROUP_COL,0.08693665266036987,1,10,0.995
GROUP_COL,0.006291799247264862,0,11,0.995
GROUP_COL,0.00013657848467119038,0,12,0.995
ORDER_AGG_v2,0.9898957256440755,0,13,0.995
ORDER_AGG_v2,0.48757799573340743,0,14,0.995
ORDER_AGG_v2,0.32228177630585064,0,15,0.995
ORDER_AGG_v2,0.20282360475900535,0,16,0.995
ORDER_DESC_ASC,0.6876243352890015,0,17,0.995
SELECT_AGG_v2,0.659340500831604,0,1,0.995
SELECT_AGG_v2,0.30178520083427424,1,2,0.995
SELECT_AGG_v2,0.0388464629650116,0,3,0.995
SELECT_AGG_v2,2.4730312361498367e-05,1,4,0.995
SELECT_AGG_v2,0.9743773919616463,0,5,0.995
SELECT_AGG_v2,0.4795630375879379,0,6,0.995
SELECT_AGG_v2,0.482513904764598,0,7,0.995
SELECT_AGG_v2,0.40202621147376083,0,8,0.995
GROUP_COL,0.970845639705658,1,9,0.995
SELECT_AGG_v2,0.9943506717681885,1,1,0.995
SELECT_AGG_v2,0.9925119283616199,0,2,0.995
SELECT_AGG_v2,0.3501898679305719,0,3,0.995
SELECT_AGG_v2,0.009914455935359001,0,4,0.995
SELECT_AGG_v2,0.2588066260114796,0,5,0.995
GROUP_COL,0.9052914381027222,0,6,0.995
GROUP_COL,0.08399476855993271,1,7,0.995
GROUP_COL,0.007239154074341059,0,8,0.995
GROUP_COL,0.0031443038024008274,0,9,0.995
SELECT_AGG_v2,0.9714403748512268,1,1,0.995
GROUP_COL,0.9834746718406677,1,2,0.995
HAV_AGG_v2,0.8486526280444547,0,3,0.995
HAV_AGG_v2,0.8157459335719307,0,4,0.995
HAV_AGG_v2,0.43629060879677034,1,5,0.995
HAV_AGG_v2,0.1984543388504639,0,6,0.995
SELECT_AGG_v2,0.9842516779899597,1,1,0.995
SELECT_AGG_v2,0.9816230535507202,1,1,0.995
SELECT_AGG_v2,0.9307807087898254,1,2,0.995
ORDER_AGG_v2,0.6641842722892761,0,3,0.995
ORDER_AGG_v2,0.2350522875785828,0,4,0.995
ORDER_AGG_v2,0.06916630268096924,0,5,0.995
ORDER_AGG_v2,0.023543626070022586,0,6,0.995
ORDER_DESC_ASC,0.972575306892395,0,7,0.995
SELECT_AGG_v2,0.8249631524085999,1,1,0.995
SELECT_AGG_v2,0.5966126322746277,1,2,0.995
GROUP_COL,0.9906484484672546,1,3,0.995
ORDER_AGG_v2,0.9051049046481494,0,4,0.995
ORDER_AGG_v2,0.7571081847217862,1,5,0.995
ORDER_AGG_v2,0.08750845825637174,0,6,0.995
ORDER_AGG_v2,0.07783810770931898,0,7,0.995
SELECT_AGG_v2,0.9710743427276611,1,1,0.995
GROUP_COL,0.9879690408706665,1,2,0.995
ORDER_AGG_v2,0.9407240659096988,0,3,0.995
ORDER_AGG_v2,0.6758430146008205,0,4,0.995
ORDER_AGG_v2,0.26069976110506426,1,5,0.995
ORDER_AGG_v2,0.2029128880773885,0,6,0.995
ORDER_DESC_ASC,0.8935470581054688,1,7,0.995
SELECT_AGG_v2,0.8240609169006348,1,1,0.995
GROUP_COL,0.9901847839355469,1,2,0.995
ORDER_AGG_v2,0.9252963191890754,0,3,0.995
ORDER_AGG_v2,0.7183516256293959,0,4,0.995
ORDER_AGG_v2,0.10375810865835976,0,5,0.995
ORDER_AGG_v2,0.10333075810623099,0,6,0.995
ORDER_DESC_ASC,0.6512031555175781,0,7,0.995
SELECT_AGG_v2,0.9251231551170349,1,1,0.995
WHERE_COL,0.5698949694633484,0,2,0.995
WHERE_COL,0.30553948879241943,0,3,0.995
WHERE_COL,0.06419473886489868,0,4,0.995
WHERE_COL,0.03857343643903732,0,5,0.995
GROUP_COL,0.9852061867713928,1,6,0.995
HAV_AGG_v2,0.9632944825375692,0,7,0.995
HAV_AGG_v2,0.5106135796634776,1,8,0.995
HAV_AGG_v2,0.49959893869274374,0,9,0.995
HAV_AGG_v2,0.2701955923385808,0,10,0.995
HAV_OP_v2,0.9615458846092224,1,11,0.995
SELECT_AGG_v2,0.8323743343353271,1,1,0.995
WHERE_COL,0.8034228682518005,0,2,0.995
WHERE_COL,0.11922139674425125,0,3,0.995
WHERE_COL,0.03333520144224167,0,4,0.995
WHERE_COL,0.03271283581852913,0,5,0.995
GROUP_COL,0.9911372661590576,1,6,0.995
HAV_OP_v2,0.6669328212738037,0,7,0.995
HAV_OP_v2,0.3051379919052124,0,8,0.995
HAV_OP_v2,0.23468188893261668,0,9,0.995
HAV_OP_v2,0.024418920278549194,0,10,0.995
SELECT_AGG_v2,0.8486977815628052,1,1,0.995
IUEN_v2,0.8757703900337219,1,2,0.995
SELECT_AGG_v2,0.6937639117240906,1,3,0.995
SELECT_AGG_v2,0.47097113728523254,1,1,0.995
IUEN_v2,0.9775705337524414,1,2,0.995
SELECT_AGG_v2,0.6024582982063293,0,3,0.995
SELECT_AGG_v2,0.28744515776634216,1,4,0.995
SELECT_AGG_v2,0.10743703693151477,0,5,0.995
SELECT_AGG_v2,0.002502919407561422,0,6,0.995
SELECT_AGG_v2,0.9596202969551086,0,1,0.995
SELECT_AGG_v2,0.04037968069314957,1,2,0.995
SELECT_AGG_v2,4.819583621085138e-11,0,3,0.995
SELECT_AGG_v2,4.591988941871076e-11,0,4,0.995
WHERE_COL,0.939028263092041,0,5,0.995
WHERE_COL,0.036912839859724045,0,6,0.995
WHERE_COL,0.013140845112502575,0,7,0.995
WHERE_COL,0.004614155273884535,0,8,0.995
GROUP_COL,0.6943754553794861,0,9,0.995
GROUP_COL,0.29992812871932983,0,10,0.995
GROUP_COL,0.005661552306264639,0,11,0.995
GROUP_COL,2.0116700397920795e-05,0,12,0.995
IUEN_v2,0.06532487273216248,0,13,0.995
IUEN_v2,0.01824990101158619,0,14,0.995
IUEN_v2,0.0007653203792870045,1,15,0.995
SELECT_AGG_v2,0.8272767663002014,1,16,0.995
SELECT_AGG_v2,0.9719728827476501,0,1,0.995
SELECT_AGG_v2,0.028027102351188667,1,2,0.995
SELECT_AGG_v2,2.4228485884236794e-09,0,3,0.995
SELECT_AGG_v2,1.0131461225526567e-09,0,4,0.995
SELECT_AGG_v2,0.5014622807502747,1,5,0.995
WHERE_COL,0.685334324836731,0,1,0.995
WHERE_COL,0.26384323835372925,0,2,0.995
WHERE_COL,0.03159632161259651,0,3,0.995
WHERE_COL,0.005852668080478907,1,4,0.995
SELECT_AGG_v2,0.8749816417694092,0,5,0.995
SELECT_AGG_v2,0.06858341395854951,0,6,0.995
SELECT_AGG_v2,0.05642680078744889,0,7,0.995
SELECT_AGG_v2,2.493947931725415e-06,0,8,0.995
SELECT_AGG_v2,0.5121935606002808,1,1,0.995
SELECT_AGG_v2,0.6353558301925659,0,2,0.995
SELECT_AGG_v2,0.32283067703247065,1,3,0.995
SELECT_AGG_v2,0.018176283687353127,1,4,0.995
SELECT_AGG_v2,0.01738244481384754,0,5,0.995
WHERE_COL,0.472484290599823,0,6,0.995
WHERE_COL,0.4074654281139374,1,7,0.995
WHERE_COL,0.0833423063158989,0,8,0.995
WHERE_COL,0.012226976454257965,0,9,0.995
GROUP_COL,0.5317521095275879,0,10,0.995
GROUP_COL,0.4633665084838867,0,11,0.995
GROUP_COL,0.001963033340871334,0,12,0.995
GROUP_COL,0.0013781350571662188,0,13,0.995
IUEN_v2,0.2456459403038025,1,14,0.995
SELECT_AGG_v2,0.6613336801528931,0,15,0.995
SELECT_AGG_v2,0.16564764082431793,1,16,0.995
SELECT_AGG_v2,0.10331373661756516,0,17,0.995
SELECT_AGG_v2,0.05341282114386559,1,18,0.995
WHERE_COL,0.4732787311077118,0,19,0.995
WHERE_COL,0.19334591925144196,0,20,0.995
WHERE_COL,0.12536966800689697,0,21,0.995
WHERE_COL,0.09769956767559052,0,22,0.995
SELECT_AGG_v2,0.4380173087120056,0,1,0.995
SELECT_AGG_v2,0.2967829406261444,1,2,0.995
SELECT_AGG_v2,0.16374880075454712,1,3,0.995
SELECT_AGG_v2,0.0535716563463211,0,4,0.995
SELECT_AGG_v2,0.3049436807632447,0,5,0.995
SELECT_AGG_v2,0.2992241084575653,0,6,0.995
SELECT_AGG_v2,0.1559595763683319,0,7,0.995
SELECT_AGG_v2,0.1536761075258255,0,8,0.995
WHERE_COL,0.7643862366676331,1,9,0.995
WHERE_COL,0.6682029366493225,0,10,0.995
WHERE_COL,0.20404358208179474,0,11,0.995
WHERE_COL,0.06605613976716995,0,12,0.995
WHERE_COL,0.031247081235051155,0,13,0.995
WHERE_OP,0.978038489818573,0,14,0.995
WHERE_OP,0.021254539489746094,0,15,0.995
WHERE_OP,0.062424617480769405,0,16,0.995
WHERE_OP,0.0004966471460647881,0,17,0.995
WHERE_COL,0.3891652524471283,0,1,0.995
WHERE_COL,0.19015753269195557,0,2,0.995
WHERE_COL,0.15836459398269653,0,3,0.995
WHERE_COL,0.09023884683847427,0,4,0.995
WHERE_OP,0.890645444393158,0,5,0.995
WHERE_OP,0.2087108125936834,0,6,0.995
WHERE_OP,0.03425733745098114,0,7,0.995
WHERE_OP,0.019513873383402824,0,8,0.995
WHERE_COL,0.4255017936229706,0,1,0.995
WHERE_COL,0.23642776906490326,0,2,0.995
WHERE_COL,0.1305786520242691,0,3,0.995
WHERE_COL,0.12027954310178757,0,4,0.995
WHERE_OP,0.9848957061767578,0,5,0.995
WHERE_OP,0.013163131661713123,0,6,0.995
WHERE_OP,0.029112884581880924,0,7,0.995
WHERE_OP,0.00033695652382448316,0,8,0.995
SELECT_AGG_v2,0.993316650390625,1,1,0.995
IUEN_v2,0.5608314871788025,0,2,0.995
IUEN_v2,0.0004833512066397816,1,3,0.995
IUEN_v2,3.4453307307558134e-05,0,4,0.995
SELECT_AGG_v2,0.45943698287010193,0,5,0.995
SELECT_AGG_v2,0.32300713658332825,0,6,0.995
SELECT_AGG_v2,0.10670962929725648,0,7,0.995
SELECT_AGG_v2,0.056979302316904075,1,8,0.995
WHERE_COL,0.6016539335250854,0,9,0.995
WHERE_COL,0.38357192277908325,0,10,0.995
WHERE_COL,0.004993845243006945,0,11,0.995
WHERE_COL,0.0033767754212021828,0,12,0.995
SELECT_AGG_v2,0.9892645478248596,1,1,0.995
IUEN_v2,0.8134216070175171,0,2,0.995
IUEN_v2,0.0008765720413066447,1,3,0.995
IUEN_v2,1.2635765415325295e-05,0,4,0.995
SELECT_AGG_v2,0.5694883465766907,0,5,0.995
SELECT_AGG_v2,0.26460695266723633,0,6,0.995
SELECT_AGG_v2,0.05730827897787095,0,7,0.995
SELECT_AGG_v2,0.047885600477457047,1,8,0.995
WHERE_COL,0.6054407358169556,0,9,0.995
WHERE_COL,0.3846558630466461,0,10,0.995
WHERE_COL,0.0033275794703513384,0,11,0.995
WHERE_COL,0.003131859004497528,0,12,0.995
SELECT_AGG_v2,0.8974164128303528,1,1,0.995
SELECT_AGG_v2,0.38233739137649536,0,2,0.995
SELECT_AGG_v2,0.35152637958526617,1,3,0.995
SELECT_AGG_v2,0.130818247795105,0,4,0.995
SELECT_AGG_v2,0.07580731064081192,1,5,0.995
WHERE_COL,0.6046813130378723,0,6,0.995
WHERE_COL,0.15711449086666107,0,7,0.995
WHERE_COL,0.14686471223831177,0,8,0.995
WHERE_COL,0.05321335047483444,0,9,0.995
WHERE_OP,0.9912393052907104,0,10,0.995
WHERE_OP,0.11553592144358589,0,11,0.995
WHERE_OP,0.0006589554250240326,0,12,0.995
WHERE_OP,6.112781557021663e-05,0,13,0.995
SELECT_AGG_v2,0.9094820618629456,1,14,0.995
SELECT_AGG_v2,0.8334251046180725,1,1,0.995
SELECT_AGG_v2,0.8734915256500244,1,2,0.995
WHERE_COL,0.4340316653251648,0,3,0.995
WHERE_COL,0.2051474153995514,0,4,0.995
WHERE_COL,0.19814778864383698,0,5,0.995
WHERE_COL,0.10169489681720734,0,6,0.995
SELECT_AGG_v2,0.7792752385139465,1,1,0.995
SELECT_AGG_v2,0.8988446593284607,1,2,0.995
SELECT_AGG_v2,0.8906096053826196,0,3,0.995
SELECT_AGG_v2,0.22120450437068936,1,4,0.995
SELECT_AGG_v2,0.5603438650462106,0,5,0.995
SELECT_AGG_v2,0.28452143082808073,0,6,0.995
ORDER_AGG_v2,0.9590648529928174,0,7,0.995
ORDER_AGG_v2,0.6155336731003823,0,8,0.995
ORDER_AGG_v2,0.3032181336697059,1,9,0.995
ORDER_AGG_v2,0.0005406740820035338,0,10,0.995
ORDER_DESC_ASC,0.9836251139640808,1,11,0.995
SELECT_AGG_v2,0.7779778838157654,1,1,0.995
SELECT_AGG_v2,0.9658377766609192,1,2,0.995
SELECT_AGG_v2,0.9324455857276917,1,3,0.995
ORDER_AGG_v2,0.9270113213487242,0,4,0.995
ORDER_AGG_v2,0.6789944777437749,1,5,0.995
ORDER_AGG_v2,0.4668886782461764,0,6,0.995
ORDER_AGG_v2,0.16251077097970873,0,7,0.995
SELECT_AGG_v2,0.42190882563591003,0,1,0.995
SELECT_AGG_v2,0.33411911129951477,1,2,0.995
SELECT_AGG_v2,0.11279753595590589,0,3,0.995
SELECT_AGG_v2,0.09543413668870925,1,4,0.995
SELECT_AGG_v2,0.6816085967878757,0,5,0.995
SELECT_AGG_v2,0.6467102065563498,0,6,0.995
SELECT_AGG_v2,0.10692322999238968,0,7,0.995
SELECT_AGG_v2,0.10180962830781937,0,8,0.995
GROUP_COL,0.9085252285003662,0,9,0.995
GROUP_COL,0.08863960951566696,0,10,0.995
GROUP_COL,0.002413869369775057,1,11,0.995
GROUP_COL,0.0003477044519968331,0,12,0.995
HAV_AGG_v2,0.8258119873989893,1,13,0.995
SELECT_AGG_v2,0.44995349645614624,0,1,0.995
SELECT_AGG_v2,0.31778815388679504,1,2,0.995
SELECT_AGG_v2,0.22717057168483734,1,3,0.995
SELECT_AGG_v2,0.0033891370985656977,0,4,0.995
SELECT_AGG_v2,0.513516366481781,0,5,0.995
SELECT_AGG_v2,0.2299734503030777,0,6,0.995
SELECT_AGG_v2,0.148635596036911,0,7,0.995
SELECT_AGG_v2,0.04777341336011886,1,8,0.995
GROUP_COL,0.7965091466903687,0,9,0.995
GROUP_COL,0.20094510912895203,0,10,0.995
GROUP_COL,0.002251966157928109,1,11,0.995
GROUP_COL,0.0002874941856134683,0,12,0.995
HAV_AGG_v2,0.970673216737105,0,13,0.995
HAV_AGG_v2,0.5784806282497824,0,14,0.995
HAV_AGG_v2,0.10272644260049668,0,15,0.995
HAV_AGG_v2,0.08167461337722924,0,16,0.995
SELECT_AGG_v2,0.8997541069984436,1,1,0.995
GROUP_COL,0.9882204532623291,0,2,0.995
